Wiki_ID,TOXICITY,Sexual Orientation,Gender,Race/National Origin,Religion,Age,Disability
0.0,0.096492462,0,0,7,0,0,0
1.0,0.017991407,0,1,0,0,0,0
2.0,0.15029785,7,0,0,0,0,0
3.0,0.065860905,0,0,11,0,0,0
4.0,0.667165935,0,0,0,8,0,0
5.0,0.322414666,0,0,0,6,0,0
6.0,0.663428009,0,0,11,0,0,0
7.0,0.136357471,0,2,0,0,0,0
8.0,0.146192551,0,0,11,0,0,0
9.0,0.012936623,0,0,7,0,0,0
10.0,0.540750027,4,0,0,0,0,0
11.0,0.736210346,5,0,0,0,0,0
12.0,0.032982055,0,0,3,0,0,0
13.0,0.150509447,0,0,13,0,0,0
14.0,0.039685551,0,3,0,0,0,0
15.0,0.203032494,0,0,2,0,0,0
16.0,0.30755347,0,0,0,0,0,2
17.0,0.150509447,0,0,0,0,6,0
18.0,0.07540787,0,0,2,0,0,0
19.0,0.109612994,2,0,0,0,0,0
20.0,0.491391569,0,0,0,0,7,0
21.0,0.387068063,0,0,4,0,0,0
22.0,0.027391043,0,0,16,0,0,0
23.0,0.491391569,0,0,13,0,0,0
24.0,0.494468778,0,0,7,0,0,0
25.0,0.028887436,0,0,2,0,0,0
26.0,0.093944184,0,0,11,0,0,0
27.0,0.717088938,3,0,0,0,0,0
28.0,0.136357471,0,0,0,0,0,2
29.0,0.397674263,0,3,0,0,0,0
30.0,0.706489146,5,0,0,0,0,0
31.0,0.250604719,0,0,0,0,5,0
32.0,0.523488998,0,0,0,0,0,3
33.0,0.632463515,6,0,0,0,0,0
34.0,0.082610302,0,0,0,5,0,0
35.0,0.072296411,0,0,8,0,0,0
36.0,0.11354246,0,0,0,0,4,0
37.0,0.695927858,0,4,0,0,0,0
38.0,0.228502423,0,0,0,0,5,0
39.0,0.079503708,0,0,0,1,0,0
40.0,0.60385263,0,5,0,0,0,0
41.0,0.69095552,6,0,0,0,0,0
42.0,0.136357471,0,0,13,0,0,0
43.0,0.621199489,5,0,0,0,0,0
44.0,0.30755347,0,0,0,0,6,0
45.0,0.088450611,0,0,0,2,0,0
46.0,0.23175551,0,0,0,0,5,0
47.0,0.046902075,0,0,3,0,0,0
48.0,0.205940574,0,0,12,0,0,0
49.0,0.322414666,0,2,0,0,0,0
50.0,0.190243006,0,0,0,7,0,0
51.0,0.037278336,0,4,0,0,0,0
52.0,0.738612592,0,0,0,0,5,0
53.0,0.491391569,0,0,0,0,0,1
54.0,0.014889268,0,0,4,0,0,0
55.0,0.03047134,2,0,0,0,0,0
56.0,0.366292357,0,4,0,0,0,0
57.0,0.131193683,0,0,0,7,0,0
58.0,0.118261307,0,0,1,0,0,0
59.0,0.027804954,0,0,0,4,0,0
60.0,0.136357471,0,0,0,6,0,0
61.0,0.054002959,0,0,5,0,0,0
62.0,0.717629135,0,0,17,0,0,0
63.0,0.052088585,0,0,5,0,0,0
64.0,0.020374214,0,0,0,0,4,0
65.0,0.799064636,0,0,16,0,0,0
66.0,0.026037024,0,0,1,0,0,0
67.0,0.517386198,0,0,0,1,0,0
68.0,0.065404221,0,0,0,0,2,0
69.0,0.709967554,3,0,0,0,0,0
70.0,0.638513923,0,5,0,0,0,0
71.0,0.441052765,0,0,0,5,0,0
72.0,0.322414666,0,0,14,0,0,0
73.0,0.109612994,0,0,15,0,0,0
74.0,0.136357471,0,0,14,0,0,0
75.0,0.06730745,0,0,5,0,0,0
76.0,0.089935854,0,0,1,0,0,0
77.0,0.513441086,0,0,16,0,0,0
78.0,0.006374002,0,0,1,0,0,0
79.0,0.098430939,0,0,0,8,0,0
80.0,0.881129563,5,0,0,0,0,0
81.0,0.13182269,0,0,9,0,0,0
82.0,0.894928515,9,0,0,0,0,0
83.0,0.324402452,4,0,0,0,0,0
84.0,0.87031424,0,0,17,0,0,0
85.0,0.069934018,0,0,0,0,1,0
86.0,0.775581777,7,0,0,0,0,0
87.0,0.109612994,0,0,14,0,0,0
88.0,0.438133955,0,0,0,0,4,0
89.0,0.077121101,0,0,10,0,0,0
90.0,0.150509447,0,0,0,0,7,0
91.0,0.322414666,0,0,15,0,0,0
92.0,0.038887832,0,0,7,0,0,0
93.0,0.218138978,0,3,0,0,0,0
94.0,0.508155107,0,0,0,5,0,0
95.0,0.017256269,0,0,0,3,0,0
96.0,0.149075538,0,0,0,3,0,0
97.0,0.214162439,0,0,0,4,0,0
98.0,0.096022554,0,0,0,0,3,0
99.0,0.202489361,0,4,0,0,0,0
100.0,0.491391569,0,2,0,0,0,0
101.0,0.039187774,0,0,2,0,0,0
102.0,0.113199979,0,0,0,0,3,0
103.0,0.370699525,0,0,7,0,0,0
104.0,0.013133928,0,0,0,0,1,0
105.0,0.705268443,5,0,0,0,0,0
106.0,0.150509447,2,0,0,0,0,0
107.0,0.108117566,0,0,0,0,1,0
108.0,0.136357471,1,0,0,0,0,0
109.0,0.51299268,0,0,0,0,0,3
110.0,0.053405527,0,0,4,0,0,0
111.0,0.267137259,4,0,0,0,0,0
112.0,0.056081034,0,0,0,0,2,0
113.0,0.351126254,0,0,0,7,0,0
114.0,0.383916289,0,0,8,0,0,0
115.0,0.623161256,0,0,12,0,0,0
116.0,0.50055027,0,3,0,0,0,0
117.0,0.33847931,0,0,16,0,0,0
118.0,0.20875898,0,0,9,0,0,0
119.0,0.023342516,0,0,0,0,5,0
120.0,0.100763597,0,0,0,4,0,0
121.0,0.128272206,0,1,0,0,0,0
122.0,0.136357471,0,0,0,0,0,1
123.0,0.249377534,0,0,0,0,1,0
124.0,0.819941878,8,0,0,0,0,0
125.0,0.123451695,0,0,0,4,0,0
126.0,0.102556087,0,0,7,0,0,0
127.0,0.222162247,0,0,0,3,0,0
128.0,0.01244803,0,0,11,0,0,0
129.0,0.42881161,0,3,0,0,0,0
130.0,0.30755347,0,0,13,0,0,0
131.0,0.104602031,0,0,0,1,0,0
132.0,0.491391569,1,0,0,0,0,0
133.0,0.841178417,9,0,0,0,0,0
134.0,0.098050222,0,0,0,4,0,0
135.0,0.30755347,0,0,0,0,0,1
136.0,0.108851574,0,1,0,0,0,0
137.0,0.827910364,0,3,0,0,0,0
138.0,0.868423581,0,5,0,0,0,0
139.0,0.109612994,0,2,0,0,0,0
140.0,0.046433471,0,0,0,0,8,0
141.0,0.507202923,0,0,0,8,0,0
142.0,0.02785168,0,0,2,0,0,0
143.0,0.322414666,2,0,0,0,0,0
144.0,0.029324226,0,0,0,7,0,0
145.0,0.019906249,0,0,7,0,0,0
146.0,0.157522798,0,0,8,0,0,0
147.0,0.252157867,0,0,0,0,4,0
148.0,0.098760583,0,5,0,0,0,0
149.0,0.150509447,0,2,0,0,0,0
150.0,0.581285596,1,0,0,0,0,0
151.0,0.218104631,0,0,0,7,0,0
152.0,0.150509447,0,0,0,6,0,0
153.0,0.642791092,0,0,0,0,3,0
154.0,0.491391569,0,0,14,0,0,0
155.0,0.491391569,0,0,0,0,0,2
156.0,0.23318854,0,0,0,3,0,0
157.0,0.463365316,0,0,5,0,0,0
158.0,0.322414666,0,0,0,0,0,2
159.0,0.890947461,6,0,0,0,0,0
160.0,0.0910706,0,0,0,1,0,0
161.0,0.03047134,0,0,0,0,7,0
162.0,0.515848339,7,0,0,0,0,0
163.0,0.554385364,0,0,0,0,0,3
164.0,0.168413863,8,0,0,0,0,0
165.0,0.61962533,9,0,0,0,0,0
166.0,0.069630034,0,0,0,5,0,0
167.0,0.136357471,0,0,0,0,7,0
168.0,0.81357944,0,0,17,0,0,0
169.0,0.014888164,0,0,10,0,0,0
170.0,0.249999568,0,0,0,8,0,0
171.0,0.122867003,0,0,0,0,1,0
172.0,0.044703841,0,0,9,0,0,0
173.0,0.444861829,0,4,0,0,0,0
174.0,0.136357471,0,0,15,0,0,0
175.0,0.084976502,0,0,8,0,0,0
176.0,0.109612994,1,0,0,0,0,0
177.0,0.383028567,0,0,0,0,8,0
178.0,0.023018271,0,0,7,0,0,0
179.0,0.856641054,0,5,0,0,0,0
180.0,0.30755347,2,0,0,0,0,0
181.0,0.870207965,7,0,0,0,0,0
182.0,0.068280272,0,0,7,0,0,0
183.0,0.428925723,0,0,0,0,8,0
184.0,0.836958408,0,4,0,0,0,0
185.0,0.088318281,0,0,4,0,0,0
186.0,0.153608352,0,0,0,1,0,0
187.0,0.711329162,0,5,0,0,0,0
188.0,0.109612994,0,0,0,0,7,0
189.0,0.30755347,0,2,0,0,0,0
190.0,0.400440633,0,0,0,0,2,0
191.0,0.930589259,9,0,0,0,0,0
192.0,0.02037509,0,0,12,0,0,0
193.0,0.10515637,0,0,11,0,0,0
194.0,0.208999008,0,0,0,0,4,0
195.0,0.095467351,0,0,0,0,3,0
196.0,0.881147981,6,0,0,0,0,0
197.0,0.197627857,0,0,5,0,0,0
198.0,0.037518304,0,0,2,0,0,0
199.0,0.581285596,0,0,0,0,6,0
200.0,0.727430999,6,0,0,0,0,0
201.0,0.302250683,0,0,0,2,0,0
202.0,0.353380591,3,0,0,0,0,0
203.0,0.269582599,0,0,7,0,0,0
204.0,0.136357471,2,0,0,0,0,0
205.0,0.011803488,0,0,3,0,0,0
206.0,0.700001836,0,0,0,3,0,0
207.0,0.763556361,6,0,0,0,0,0
208.0,0.315415084,0,0,0,8,0,0
209.0,0.726829886,0,5,0,0,0,0
210.0,0.322414666,0,0,0,0,6,0
211.0,0.022942692,0,0,0,0,3,0
212.0,0.15211302,0,0,0,4,0,0
213.0,0.545609355,0,0,17,0,0,0
214.0,0.722846687,5,0,0,0,0,0
215.0,0.378048509,0,1,0,0,0,0
216.0,0.140197501,0,0,0,0,5,0
217.0,0.543973386,0,0,17,0,0,0
218.0,0.376496971,0,0,0,0,8,0
219.0,0.491391569,2,0,0,0,0,0
220.0,0.416892588,3,0,0,0,0,0
221.0,0.076867208,0,0,0,3,0,0
222.0,0.108168989,0,0,0,2,0,0
223.0,0.149713308,0,0,0,0,2,0
224.0,0.491391569,0,0,15,0,0,0
225.0,0.30755347,0,0,15,0,0,0
226.0,0.052757625,0,0,3,0,0,0
227.0,0.354074359,0,0,0,0,3,0
228.0,0.543470323,0,0,0,0,5,0
229.0,0.281955659,3,0,0,0,0,0
230.0,0.238248497,0,0,0,7,0,0
231.0,0.144026488,0,0,7,0,0,0
232.0,0.229107141,0,0,12,0,0,0
233.0,0.807946682,0,0,0,0,8,0
234.0,0.30755347,0,0,0,0,7,0
235.0,0.503673315,0,0,11,0,0,0
236.0,0.109612994,0,0,13,0,0,0
237.0,0.68070668,0,0,9,0,0,0
238.0,0.03047134,0,2,0,0,0,0
239.0,0.691761672,0,1,0,0,0,0
240.0,0.89198786,9,0,0,0,0,0
241.0,0.581285596,0,2,0,0,0,0
242.0,0.334563166,0,0,0,0,8,0
243.0,0.109612994,0,0,0,6,0,0
244.0,0.087115973,0,0,0,2,0,0
245.0,0.044052318,0,0,5,0,0,0
246.0,0.86714375,7,0,0,0,0,0
247.0,0.104862772,0,0,0,0,4,0
248.0,0.029625338,4,0,0,0,0,0
249.0,0.581285596,0,0,14,0,0,0
250.0,0.100425743,0,0,11,0,0,0
251.0,0.676938295,0,0,0,0,4,0
252.0,0.149779558,5,0,0,0,0,0
253.0,0.875417531,9,0,0,0,0,0
254.0,0.581285596,0,0,0,0,0,2
255.0,0.195408568,0,0,4,0,0,0
256.0,0.026579995,0,0,0,5,0,0
257.0,0.029329779,0,0,1,0,0,0
258.0,0.322414666,0,0,13,0,0,0
259.0,0.818626225,0,0,0,0,0,3
260.0,0.045364145,0,0,0,0,1,0
261.0,0.059661042,0,0,0,0,2,0
262.0,0.145460501,0,0,0,0,4,0
263.0,0.491391569,0,0,0,0,6,0
264.0,0.454143703,0,0,0,1,0,0
265.0,0.036842156,3,0,0,0,0,0
266.0,0.163009942,4,0,0,0,0,0
267.0,0.30755347,1,0,0,0,0,0
268.0,0.507338285,0,0,17,0,0,0
269.0,0.85002476,5,0,0,0,0,0
270.0,0.581285596,0,0,15,0,0,0
271.0,0.464518458,0,0,0,0,8,0
272.0,0.03047134,0,0,14,0,0,0
273.0,0.106226936,0,0,2,0,0,0
274.0,0.058848735,0,0,10,0,0,0
275.0,0.146730065,0,0,12,0,0,0
276.0,0.605672419,0,0,0,8,0,0
277.0,0.072754622,0,0,10,0,0,0
278.0,0.055281509,0,0,7,0,0,0
279.0,0.177693173,0,1,0,0,0,0
280.0,0.009905155,0,0,8,0,0,0
281.0,0.109612994,0,0,0,0,0,2
282.0,0.024795128,0,0,1,0,0,0
283.0,0.816665769,8,0,0,0,0,0
284.0,0.057198729,0,0,0,0,1,0
285.0,0.059098706,0,0,0,0,3,0
286.0,0.011499322,0,0,2,0,0,0
287.0,0.060928725,0,0,0,5,0,0
288.0,0.029489152,0,0,3,0,0,0
289.0,0.273255557,3,0,0,0,0,0
290.0,0.778699875,0,0,0,8,0,0
291.0,0.202826053,0,0,0,5,0,0
292.0,0.730913758,0,0,12,0,0,0
293.0,0.033593547,0,0,8,0,0,0
294.0,0.109612994,0,0,0,0,6,0
295.0,0.375661403,0,0,0,0,0,3
296.0,0.037087157,0,0,7,0,0,0
297.0,0.605975151,0,0,0,0,0,3
298.0,0.060435869,0,0,5,0,0,0
299.0,0.370454729,0,0,9,0,0,0
300.0,0.687576354,8,0,0,0,0,0
301.0,0.258255035,3,0,0,0,0,0
302.0,0.529394746,0,0,12,0,0,0
303.0,0.581285596,0,0,0,0,7,0
304.0,0.581285596,0,0,13,0,0,0
305.0,0.511182904,0,0,0,4,0,0
306.0,0.019526673,0,0,7,0,0,0
307.0,0.128893405,6,0,0,0,0,0
308.0,0.845822573,0,0,16,0,0,0
309.0,0.394138694,0,0,16,0,0,0
310.0,0.032979742,0,0,8,0,0,0
311.0,0.723962069,7,0,0,0,0,0
312.0,0.018822327,0,0,1,0,0,0
313.0,0.03047134,0,0,0,0,6,0
314.0,0.072072424,0,0,0,1,0,0
315.0,0.479913145,0,0,0,4,0,0
316.0,0.051421072,0,0,4,0,0,0
317.0,0.125562668,0,0,3,0,0,0
318.0,0.731508553,0,5,0,0,0,0
319.0,0.673696518,0,3,0,0,0,0
320.0,0.07249172,0,0,9,0,0,0
321.0,0.322414666,0,0,0,0,0,1
322.0,0.234773591,0,0,9,0,0,0
323.0,0.150509447,0,0,0,0,0,2
324.0,0.637758791,0,0,0,7,0,0
325.0,0.518147349,0,0,10,0,0,0
326.0,0.61186707,0,0,0,0,1,0
327.0,0.363525301,4,0,0,0,0,0
328.0,0.041357074,0,0,4,0,0,0
329.0,0.288733214,4,0,0,0,0,0
330.0,0.03047134,1,0,0,0,0,0
331.0,0.092419371,0,1,0,0,0,0
332.0,0.483648181,0,0,16,0,0,0
333.0,0.359171838,0,0,0,2,0,0
334.0,0.493772328,0,0,16,0,0,0
335.0,0.735821784,8,0,0,0,0,0
336.0,0.689281166,0,0,0,0,0,3
337.0,0.150509447,0,0,14,0,0,0
338.0,0.054099917,0,0,0,0,0,3
339.0,0.484738797,0,0,0,7,0,0
340.0,0.118242145,0,0,0,0,5,0
341.0,0.79784894,9,0,0,0,0,0
342.0,0.051401697,0,0,10,0,0,0
343.0,0.685499668,7,0,0,0,0,0
344.0,0.7622329,8,0,0,0,0,0
345.0,0.839370072,4,0,0,0,0,0
346.0,0.077099547,0,0,0,2,0,0
347.0,0.30755347,0,0,14,0,0,0
348.0,0.021406574,0,0,9,0,0,0
349.0,0.109612994,0,0,0,0,0,1
350.0,0.652590394,7,0,0,0,0,0
351.0,0.065030903,0,0,0,0,3,0
352.0,0.014275881,0,0,5,0,0,0
353.0,0.019879714,0,0,0,2,0,0
354.0,0.322414666,1,0,0,0,0,0
355.0,0.581285596,0,0,0,0,0,1
356.0,0.03047134,0,0,15,0,0,0
357.0,0.063306823,0,0,0,0,2,0
358.0,0.03047134,0,0,0,0,0,2
359.0,0.074938856,0,0,0,5,0,0
360.0,0.581285596,0,0,0,6,0,0
361.0,0.136357471,0,0,0,0,6,0
362.0,0.377341777,0,0,0,0,2,0
363.0,0.912830055,8,0,0,0,0,0
364.0,0.03047134,0,0,13,0,0,0
365.0,0.04356534,0,0,8,0,0,0
366.0,0.581285596,2,0,0,0,0,0
367.0,0.164136499,0,0,10,0,0,0
368.0,0.381439179,0,3,0,0,0,0
369.0,0.847638369,9,0,0,0,0,0
370.0,0.008261668,0,0,7,0,0,0
371.0,0.446966976,0,4,0,0,0,0
372.0,0.761978865,6,0,0,0,0,0
373.0,0.150509447,0,0,0,0,0,1
374.0,0.022090986,0,0,0,0,2,0
375.0,0.893901706,8,0,0,0,0,0
376.0,0.30755347,0,0,0,6,0,0
377.0,0.150509447,0,0,15,0,0,0
378.0,0.528551221,0,0,0,8,0,0
379.0,0.115843162,0,0,12,0,0,0
380.0,0.3707771,0,0,10,0,0,0
381.0,0.481841892,0,0,0,3,0,0
382.0,0.03047134,0,0,0,0,0,1
383.0,0.017189214,0,0,1,0,0,0
384.0,0.03047134,0,0,0,6,0,0
385.0,0.422574788,0,4,0,0,0,0
386.0,0.361726046,0,0,17,0,0,0
387.0,0.032447301,0,0,4,0,0,0
388.0,0.754281163,0,0,0,0,8,0
389.0,0.207870856,0,0,3,0,0,0
390.0,0.150509447,1,0,0,0,0,0
391.0,0.10320387,0,0,7,0,0,0
392.0,0.039532132,0,0,3,0,0,0
393.0,0.158095434,0,0,0,3,0,0
394.0,0.633125305,0,1,0,0,0,0
395.0,0.050002165,0,0,17,0,0,0
396.0,0.491391569,0,0,0,6,0,0
397.0,0.024539426,0,0,0,1,0,0
398.0,0.322414666,0,0,0,0,7,0
399.0,0.670701146,0,0,0,2,0,0
400.0,0.019003311,4,0,0,0,0,0
401.0,0.005814309,0,0,11,0,0,0
402.0,0.044719055,0,0,0,8,0,0
403.0,0.02128887,0,0,14,0,0,0
404.0,0.088542022,0,0,3,0,0,0
405.0,0.00919996,0,1,0,0,0,0
406.0,0.00844369,0,0,9,0,0,0
407.0,0.010509928,3,0,0,0,0,0
408.0,0.328292727,0,0,0,0,2,0
409.0,0.02754516,0,4,0,0,0,0
410.0,0.02128887,0,0,0,0,0,1
411.0,0.028381189,0,0,16,0,0,0
412.0,0.398657411,0,0,0,4,0,0
413.0,0.011840767,0,0,0,3,0,0
414.0,0.377176881,0,0,0,5,0,0
415.0,0.02128887,0,0,0,0,0,2
416.0,0.09631861,0,0,1,0,0,0
417.0,0.07324753,0,0,2,0,0,0
418.0,0.003893855,0,0,3,0,0,0
419.0,0.778993368,0,0,17,0,0,0
420.0,0.434486747,0,1,0,0,0,0
421.0,0.443373948,0,0,7,0,0,0
422.0,0.830578089,6,0,0,0,0,0
423.0,0.449116021,0,0,0,0,0,1
424.0,0.02128887,0,2,0,0,0,0
425.0,0.007290713,0,0,4,0,0,0
