Analogy,Similarity
king is to throne as judge is to court,0.61
giant is to dwarf as genius is to idiot,0.34
college is to dean as jail is to warden,0.28
arc is to circle as line is to plane,0.26
french is to france as dutch is to netherlands,0.42
man is to woman as king is to queen,0.57
water is to ice as liquid is to solid,0.65
bad is to good as sad is to happy,0.45
nurse is to hospital as teacher is to school,0.53
usa is to pizza as japan is to sushi,0.01
human is to house as dog is to kennel,0.28
grass is to green as sky is to blue,0.44
video is to cassette as computer is to disk,0.36
universe is to planet as house is to room,0.25
poverty is to wealth as sickness is to health,0.2
